index,original_points,after_rdp_points,after_vw_points
1,23,15,13
2,19,4,9
3,65,22,55
4,43,26,33
5,29,16,19
6,26,10,16
7,36,20,26
8,34,25,24
9,38,15,28
10,19,10,9
11,22,9,12
12,44,17,34
13,32,15,22
14,34,13,24
15,28,16,18
16,64,40,54
17,65,37,55
18,19,14,9
19,17,6,7
20,9,4,2
21,15,10,5
22,43,19,33
23,35,18,25
24,20,9,10
25,26,15,16
26,8,7,2
27,57,23,47
28,29,12,19
29,18,12,8
30,11,8,2
31,18,9,8
32,45,21,35
33,38,22,28
34,36,20,26
35,17,11,7
36,41,17,31
37,26,18,16
38,18,7,8
39,20,12,10
40,70,44,60
41,27,4,17
42,41,23,31
43,29,16,19
44,35,16,25
45,54,21,44
46,145,65,135
47,67,23,57
48,59,39,49
49,12,6,2
50,28,16,18
51,25,6,15
52,32,14,22
53,24,11,14
54,25,8,15
55,1,1,1
56,39,23,29
57,41,20,31
58,35,14,25
59,16,7,6
60,50,28,40
61,28,17,18
62,40,12,30
63,78,37,68
64,31,13,21
65,43,26,33
66,18,15,8
67,61,24,51
68,46,22,36
69,2,2,2
70,33,12,23
71,25,16,15
72,40,16,30
73,21,11,11
74,116,65,106
75,65,33,55
76,24,12,14
77,24,12,14
78,21,10,11
79,25,18,15
80,34,18,24
81,50,18,40
82,42,25,32
83,25,14,15
84,23,17,13
85,16,10,6
86,56,27,46
87,105,39,95
88,71,33,61
89,59,24,49
90,43,22,33
91,55,19,45
92,19,11,9
93,21,7,11
94,141,80,131
95,50,31,40
96,25,14,15
97,23,14,13
98,24,13,14
99,9,5,2
100,34,19,24
101,3,3,2
102,55,33,45
103,112,44,102
104,20,10,10
105,151,105,141
106,56,29,46
107,42,18,32
108,64,25,54
109,32,18,22
110,35,19,25
111,53,22,43
112,27,13,17
113,51,30,41
114,16,8,6
115,1,1,1
116,38,18,28
117,15,9,5
118,47,22,37
119,45,22,35
120,54,33,44
121,10,7,2
122,27,14,17
123,51,24,41
124,39,22,29
125,48,24,38
126,22,9,12
127,17,10,7
128,65,33,55
129,31,13,21
130,47,22,37
131,32,15,22
132,63,32,53
133,94,48,84
134,33,19,23
135,44,20,34
136,17,9,7
137,43,27,33
138,4,3,2
139,48,24,38
140,24,10,14
141,71,33,61
142,55,21,45
143,1,1,1
144,25,14,15
145,32,9,22
146,59,34,49
147,22,15,12
148,109,69,99
149,78,43,68
150,39,25,29
151,67,29,57
152,63,33,53
153,67,39,57
154,105,58,95
155,44,20,34
156,21,8,11
157,24,9,14
158,4,2,2
159,38,26,28
160,25,12,15
161,60,28,50
162,50,27,40
163,34,13,24
164,17,8,7
165,35,10,25
166,41,21,31
167,20,8,10
168,59,31,49
169,30,18,20
170,50,15,40
171,63,28,53
172,13,8,3
173,53,23,43
174,34,13,24
175,114,59,104
176,49,25,39
177,31,13,21
178,35,21,25
179,14,9,4
180,28,14,18
181,84,40,74
182,69,32,59
183,30,13,20
184,37,18,27
185,47,25,37
186,36,19,26
187,87,43,77
188,50,26,40
189,12,8,2
190,6,4,2
191,1,1,1
192,53,22,43
193,113,66,103
194,21,7,11
195,24,11,14
196,3,3,2
197,28,13,18
198,15,12,5
199,32,20,22
200,41,17,31
